1_31,2_31,3_31,4_31,5_31,6_31,7_31,8_31,9_31,10_31,11_31,12_31,13_31,14_31,15_31
-0.94687778328983,-0.8643774598172373,-0.8029056662105828,-0.7111645075235532,-0.688783594045316,-0.657897139621889,-0.5116889350246724,-0.5431992160854496,-0.4106625763795152,-0.6265117454342775,-0.47139835168200556,-0.3731554583173584,-0.4186115196412026,-0.3924494400656653,-0.498963396680753
-0.9354187088753672,-0.8580768966122575,-0.7674229090722551,-0.699724726692993,-0.6010680342757703,-0.5204054964314978,-0.4877708250627636,-0.5018466396175526,-0.39048351311544777,-0.24159873747234145,-0.4495294445078435,-0.3481615384118583,-0.3526098262895001,-0.3479403358025786,-0.3658602420881784
-0.9252292788796218,-0.837076508872675,-0.7511378192202695,-0.6703078280574895,-0.5796674232953878,-0.49512872804028984,-0.4615225492187043,-0.46730073375255565,-0.3587249191558803,-0.23392930669101591,-0.4038469927744838,-0.2893842491076171,-0.23919344599008632,-0.16930706502018578,-0.1293052713506182
1.118323642775341,-0.8342276245353543,-0.7389272695132486,-0.6437982180774777,-0.5641055795404598,-0.4771713647621954,-0.4188373725365087,-0.286291414556171,-0.2897606154629077,-0.1993727435988236,-0.3972667797680319,-0.254516464316606,-0.20441859220953412,-0.14063342641935425,-0.049096198072951173
1.1275158969446133,1.2028930254777932,-0.7316537169607008,-0.6334743865015747,-0.5454041502021273,-0.46137506833315545,-0.39717412865451734,-0.2745745615492593,-0.2613186850061395,-0.1724108696750714,-0.031236411436043506,-0.22111585857975963,-0.17844681906422863,-0.09929720375029728,0.007823738344129307
1.1361773384952507,1.2076400571719847,1.2825088523068757,-0.6250694551960551,-0.5284051470759754,-0.4393156689079315,-0.36775231376559986,-0.2511662667942768,-0.2425230527817504,-0.149473719142389,-0.007854907467727842,-0.14259929649128628,-0.039077357817195076,0.027827667285068282,0.08873379676648878
1.148059157002728,1.2212276233667632,1.2909414075140961,1.3601281772823752,-0.5071268930041904,-0.4125172293653607,-0.28653492884905585,-0.23541930723280552,-0.20945829518932282,-0.10297039620357255,0.0023103483537291517,-0.12848421976003752,-0.02791808239866689,0.06428592063822286,0.11164704102989426
1.1575835639844725,1.236548312826225,1.2994806748386614,1.3686609879602785,1.4363560859409483,-0.3848682419299251,-0.27878969976414303,-0.20713338457377328,-0.04553266912195195,-0.06841748443851112,0.04200984301519664,0.16470097897091557,0.1564935351249791,0.14851709519454598,0.18112605027266226
1.1820471215353547,1.2493319846975097,1.3160876454608519,1.3770213509417437,1.4467851279603787,1.4875189079495625,-0.2756901592378258,-0.17623449139585948,-0.03818230676307697,-0.013048477214635874,0.05856315128279232,0.1768967673191955,0.16519322369554024,0.2278413946888091,0.24774216647098535
1.2014560640498304,1.2776390760509317,1.3430878958067447,1.4060061461223388,1.4584693193408704,1.5293294577925471,1.582174093225473,-0.13914156796607022,-0.0351383548693477,0.04763143463139333,0.14292279171122377,0.34116381997663187,0.18829729245615523,0.25084613199228445,0.31362371063000094
1.2303487419804386,1.2834958760096595,1.3603440180715716,1.422530075108598,1.4791929176134433,1.5513705958096726,1.5972799826105673,1.6272368141828248,-0.02191059215735578,0.10915572706830308,0.14909435013368347,0.34897098925395786,0.48901013269087745,0.43696788117226987,0.39815193235210933
